source,target,source_color,target_color
ITU G.707,ITU G.707,#B54343,#B54343
ITU G.707,ITU G.691,#B54343,#7C43B5
ITU G.707,ITU G.702,#B54343,#7C43B5
ITU G.707,ITU G.703,#B54343,#7C43B5
ITU G.707,ITU G.704,#B54343,#7C43B5
ITU G.707,ITU G.709,#B54343,#7C43B5
ITU G.707,ITU G.780,#B54343,#7C43B5
ITU G.707,ITU G.783,#B54343,#7C43B5
ITU G.707,ITU G.7041,#B54343,#7C43B5
ITU G.707,ITU G.7042,#B54343,#7C43B5
ITU G.707,ITU G.802,#B54343,#7C43B5
ITU G.707,ITU G.803,#B54343,#7C43B5
ITU G.707,ITU G.806,#B54343,#7C43B5
ITU G.707,ITU G.831,#B54343,#7C43B5
ITU G.707,ITU G.841,#B54343,#7C43B5
ITU G.707,ITU G.957,#B54343,#7C43B5
ITU G.707,ITU G.984.3,#B54343,#7C43B5
ITU G.707,ITU G.991.2,#B54343,#7C43B5
ITU G.707,ITU I.432.1,#B54343,#7C43B5
ITU G.707,ITU I.432.2,#B54343,#7C43B5
ITU G.707,ITU O.181,#B54343,#7C43B5
ITU G.707,ITU Q.921,#B54343,#7C43B5
ITU G.707,ITU F.750-4,#B54343,#7C43B5
ITU G.707,ITU S.1149-2,#B54343,#7C43B5
ITU G.707,ITU F.750,#B54343,#7C43B5
ITU G.707,ITU X.85,#B54343,#7C43B5
ITU G.707,RFC 1661,#B54343,#7C43B5
ITU G.707,RFC 1662,#B54343,#7C43B5
ITU G.707,ISO 3309,#B54343,#7C43B5
ITU G.707,ISO 9314-1,#B54343,#7C43B5
ITU G.707,ISO 9314-2,#B54343,#7C43B5
ITU G.707,ISO 9314-3,#B54343,#7C43B5
ITU G.707,ISO 9314-4,#B54343,#7C43B5
ITU G.707,ISO 9314-5,#B54343,#7C43B5
ITU G.707,ISO 9314-6,#B54343,#7C43B5
ITU G.707,ISO 9314-7,#B54343,#7C43B5
ITU G.707,ISO 9314-8,#B54343,#7C43B5
ITU G.7712,ITU G.7712,#43B5B5,#43B5B5
ITU G.7712,ITU G.707,#43B5B5,#B54343
ITU G.7712,ITU G.709,#43B5B5,#7C43B5
ITU G.7712,ITU G.783,#43B5B5,#7C43B5
ITU G.7712,ITU G.784,#43B5B5,#7C43B5
ITU G.7712,ITU G.798,#43B5B5,#7C43B5
ITU G.7712,ITU G.872,#43B5B5,#7C43B5
ITU G.7712,ITU G.874,#43B5B5,#7C43B5
ITU G.7712,ITU G.7710,#43B5B5,#7C43B5
ITU G.7712,ITU G.8021,#43B5B5,#7C43B5
ITU G.7712,ITU G.8051,#43B5B5,#7C43B5
ITU G.7712,ITU G.8080,#43B5B5,#7C43B5
ITU G.7712,ITU G.8081,#43B5B5,#43B5B5
ITU G.7712,ITU M.3010,#43B5B5,#B54343
ITU G.7712,ITU M.3013,#43B5B5,#7C43B5
ITU G.7712,ITU M.3016,#43B5B5,#7C43B5
ITU G.7712,ITU Q.811,#43B5B5,#43B5B5
ITU G.7712,ITU Q.812,#43B5B5,#43B5B5
ITU G.7712,ITU Q.921,#43B5B5,#7C43B5
ITU G.7712,ITU X.233,#43B5B5,#7C43B5
ITU G.7712,ITU X.263,#43B5B5,#7C43B5
ITU G.7712,ITU G.805,#43B5B5,#B54343
ITU G.7712,ITU G.8121,#43B5B5,#7C43B5
ITU G.7712,RFC 791,#43B5B5,#7C43B5
ITU G.7712,RFC 792,#43B5B5,#7C43B5
ITU G.7712,RFC 826,#43B5B5,#7C43B5
ITU G.7712,RFC 894,#43B5B5,#7C43B5
ITU G.7712,RFC 1122,#43B5B5,#7C43B5
ITU G.7712,RFC 1195,#43B5B5,#7C43B5
ITU G.7712,RFC 1332,#43B5B5,#7C43B5
ITU G.7712,RFC 1377,#43B5B5,#7C43B5
ITU G.7712,RFC 1661,#43B5B5,#7C43B5
ITU G.7712,RFC 1662,#43B5B5,#7C43B5
ITU G.7712,RFC 1812,#43B5B5,#7C43B5
ITU G.7712,RFC 2328,#43B5B5,#7C43B5
ITU G.7712,RFC 2460,#43B5B5,#7C43B5
ITU G.7712,RFC 2472,#43B5B5,#7C43B5
ITU G.7712,RFC 2740,#43B5B5,#7C43B5
ITU G.7712,RFC 2784,#43B5B5,#7C43B5
ITU G.7712,RFC 2961,#43B5B5,#7C43B5
ITU G.7712,RFC 3031,#43B5B5,#7C43B5
ITU G.7712,RFC 3032,#43B5B5,#7C43B5
ITU G.7712,RFC 3209,#43B5B5,#7C43B5
ITU G.7712,RFC 3818,#43B5B5,#7C43B5
ITU G.7712,RFC 4443,#43B5B5,#7C43B5
ITU G.7712,RFC 5586,#43B5B5,#7C43B5
ITU G.7712,RFC 5718,#43B5B5,#7C43B5
ITU G.7712,RFC 5920,#43B5B5,#7C43B5
ITU G.7712,RFC 3147,#43B5B5,#7C43B5
ITU G.7712,RFC 2966,#43B5B5,#7C43B5
ITU G.7712,RFC 2126,#43B5B5,#7C43B5
ITU G.7712,RFC 3373,#43B5B5,#7C43B5
ITU G.7712,RFC 1702,#43B5B5,#7C43B5
ITU G.7712,RFC 5950,#43B5B5,#7C43B5
ITU G.7712,ISO 8473-1,#43B5B5,#7C43B5
ITU G.7712,ISO 9577,#43B5B5,#7C43B5
ITU G.7712,ISO 9542,#43B5B5,#7C43B5
ITU G.7712,ISO 8473,#43B5B5,#7C43B5
ITU G.7712,ISO 10589,#43B5B5,#7C43B5
ITU E.164,ITU E.164,#B54343,#B54343
ITU E.164,ITU E.168,#B54343,#7C43B5
ITU E.164,ITU E.101,#B54343,#7C43B5
ITU E.164,ITU E.123,#B54343,#7C43B5
ITU E.164,ITU E.129,#B54343,#7C43B5
ITU E.164,ITU E.131,#B54343,#7C43B5
ITU E.164,ITU E.164.1,#B54343,#7C43B5
ITU E.164,ITU E.164.2,#B54343,#7C43B5
ITU E.164,ITU E.164.3,#B54343,#7C43B5
ITU E.164,ITU E.166,#B54343,#7C43B5
ITU E.164,ITU E.169,#B54343,#7C43B5
ITU E.164,ITU E.169.1,#B54343,#7C43B5
ITU E.164,ITU E.169.2,#B54343,#7C43B5
ITU E.164,ITU E.169.3,#B54343,#7C43B5
ITU E.164,ITU E.190,#B54343,#7C43B5
ITU E.164,ITU E.191,#B54343,#7C43B5
ITU E.164,ITU E.213,#B54343,#7C43B5
ITU E.164,ITU E.214,#B54343,#7C43B5
ITU E.164,ITU E.331,#B54343,#7C43B5
ITU E.164,ITU E.29,#B54343,#7C43B5
ITU E.164,ITU E.161,#B54343,#7C43B5
ITU E.164,ITU E.163,#B54343,#7C43B5
ITU E.164,ITU E.160,#B54343,#7C43B5
ITU G.805,ITU G.805,#B54343,#B54343
ITU G.805,ITU G.702,#B54343,#7C43B5
ITU G.805,ITU G.703,#B54343,#7C43B5
ITU G.805,ITU G.707,#B54343,#B54343
ITU G.805,ITU I.320,#B54343,#7C43B5
ITU G.805,ITU I.321,#B54343,#7C43B5
ITU G.805,ITU I.324,#B54343,#7C43B5
