source,target,source_color,target_color
ITU M.3010,ITU X.700,#B54343,#7C43B5
ITU M.3010,ITU X.701,#B54343,#43B5B5
ITU M.3010,ITU X.703,#B54343,#7C43B5
ITU M.3010,ITU X.724,#B54343,#7C43B5
ITU M.3010,ITU X.720,#B54343,#7C43B5
ITU M.3010,ITU X.725,#B54343,#7C43B5
ITU M.3010,ITU X.290,#B54343,#7C43B5
ITU M.3010,ITU M.3013,#B54343,#7C43B5
ITU M.3010,ITU M.3020,#B54343,#7C43B5
ITU M.3010,ITU M.3200,#B54343,#7C43B5
ITU M.3010,ITU M.3400,#B54343,#7C43B5
ITU M.3010,ITU Q.811,#B54343,#43B5B5
ITU M.3010,ITU Q.812,#B54343,#43B5B5
ITU M.3010,ITU X.200,#B54343,#B54343
ITU M.3010,ITU Q.82,#B54343,#7C43B5
ITU M.3010,ITU M.3000,#B54343,#7C43B5
ITU M.3010,ITU M.32,#B54343,#7C43B5
ITU M.3010,ISO 10040,#B54343,#7C43B5
ITU M.3010,ISO 13244,#B54343,#7C43B5
ITU M.3010,ISO 10165-6,#B54343,#7C43B5
ITU M.3010,ISO 10165-1,#B54343,#7C43B5
ITU M.3010,ISO 10165-7,#B54343,#7C43B5
ITU M.3010,ISO 7498-1,#B54343,#B54343
