source,target,source_color,target_color
ITU X.680,ITU X.690,#B54343,#7C43B5
ITU X.680,ITU X.691,#B54343,#7C43B5
ITU X.680,ITU X.693,#B54343,#7C43B5
ITU X.680,ITU X.692,#B54343,#7C43B5
ITU X.680,ITU X.660,#B54343,#7C43B5
ITU X.680,ITU X.681,#B54343,#7C43B5
ITU X.680,ITU X.682,#B54343,#7C43B5
ITU X.680,ITU X.683,#B54343,#7C43B5
ITU X.680,ITU X.695,#B54343,#7C43B5
ITU X.680,ITU TF.460-5,#B54343,#7C43B5
ITU X.680,ITU T.100,#B54343,#7C43B5
ITU X.680,ITU T.101,#B54343,#7C43B5
ITU X.680,ITU X.200,#B54343,#B54343
ITU X.680,ITU X.680,#B54343,#B54343
ITU X.680,ITU T.4,#B54343,#7C43B5
ITU X.680,ITU T.5,#B54343,#7C43B5
ITU X.680,ISO 8825-1,#B54343,#7C43B5
ITU X.680,ISO 8825-2,#B54343,#7C43B5
ITU X.680,ISO 8825-4,#B54343,#7C43B5
ITU X.680,ISO 8825-3,#B54343,#7C43B5
ITU X.680,ISO 8601,#B54343,#7C43B5
ITU X.680,ISO 10646,#B54343,#7C43B5
ITU X.680,ISO 9834-1,#B54343,#7C43B5
ITU X.680,ISO 8824-2,#B54343,#7C43B5
ITU X.680,ISO 8824-3,#B54343,#7C43B5
ITU X.680,ISO 8824-4,#B54343,#7C43B5
ITU X.680,ISO 8825-6,#B54343,#7C43B5
ITU X.680,ISO 646,#B54343,#7C43B5
ITU X.680,ISO 7,#B54343,#7C43B5
ITU X.680,ISO 2022,#B54343,#7C43B5
ITU X.680,ISO 6523,#B54343,#7C43B5
ITU X.680,ISO 7350,#B54343,#7C43B5
ITU X.680,ISO 10367,#B54343,#7C43B5
ITU X.680,ISO 9834,#B54343,#7C43B5
ITU X.680,ISO 8571,#B54343,#7C43B5
ITU X.680,ISO 19785,#B54343,#7C43B5
ITU X.680,ISO 8824-1,#B54343,#B54343
