source,target,source_color,target_color
ITU H.248.1,ITU H.248.1,#7DB643,#7DB643
ITU H.248.1,ITU H.246,#7DB643,#7C43B5
ITU H.248.1,ITU E.106,#7DB643,#7C43B5
ITU H.248.1,ITU E.107,#7DB643,#7C43B5
ITU H.248.1,ITU H.225.0,#7DB643,#43B5B5
ITU H.248.1,ITU H.235.0,#7DB643,#7C43B5
ITU H.248.1,ITU H.245,#7DB643,#43B5B5
ITU H.248.1,ITU H.248.4,#7DB643,#7C43B5
ITU H.248.1,ITU H.248.5,#7DB643,#7C43B5
ITU H.248.1,ITU H.248.8,#7DB643,#7C43B5
ITU H.248.1,ITU H.248.14,#7DB643,#7C43B5
ITU H.248.1,ITU H.248.30,#7DB643,#7C43B5
ITU H.248.1,ITU H.323,#7DB643,#43B5B5
ITU H.248.1,ITU I.363.1,#7DB643,#7C43B5
ITU H.248.1,ITU I.363.2,#7DB643,#7C43B5
ITU H.248.1,ITU I.363.5,#7DB643,#7C43B5
ITU H.248.1,ITU I.366.1,#7DB643,#7C43B5
ITU H.248.1,ITU I.366.2,#7DB643,#7C43B5
ITU H.248.1,ITU I.371,#7DB643,#7C43B5
ITU H.248.1,ITU Q.763,#7DB643,#7C43B5
ITU H.248.1,ITU Q.765.5,#7DB643,#7C43B5
ITU H.248.1,ITU Q.931,#7DB643,#43B5B5
ITU H.248.1,ITU Q.2630.1,#7DB643,#7C43B5
ITU H.248.1,ITU Q.2931,#7DB643,#7C43B5
ITU H.248.1,ITU Q.2941.1,#7DB643,#7C43B5
ITU H.248.1,ITU Q.2961.1,#7DB643,#7C43B5
ITU H.248.1,ITU Q.2961.2,#7DB643,#7C43B5
ITU H.248.1,ITU Q.2965.1,#7DB643,#7C43B5
ITU H.248.1,ITU Q.2965.2,#7DB643,#7C43B5
ITU H.248.1,ITU V.76,#7DB643,#7C43B5
ITU H.248.1,ITU X.213,#7DB643,#7C43B5
ITU H.248.1,ITU X.680,#7DB643,#B54343
ITU H.248.1,ITU X.690,#7DB643,#7C43B5
ITU H.248.1,ITU T.120,#7DB643,#7C43B5
ITU H.248.1,ITU H.248,#7DB643,#7C43B5
ITU H.248.1,ITU H.221,#7DB643,#7C43B5
ITU H.248.1,ITU H.320,#7DB643,#7C43B5
ITU H.248.1,ITU H.226,#7DB643,#7C43B5
ITU H.248.1,ITU H.223,#7DB643,#7C43B5
ITU H.248.1,ITU H.324,#7DB643,#43B5B5
ITU H.248.1,ITU G.711,#7DB643,#B54343
ITU H.248.1,ITU G.729,#7DB643,#7C43B5
ITU H.248.1,ITU V.18,#7DB643,#7C43B5
ITU H.248.1,ITU V.22,#7DB643,#7C43B5
ITU H.248.1,ITU V.32,#7DB643,#7C43B5
ITU H.248.1,ITU V.34,#7DB643,#7C43B5
ITU H.248.1,ITU V.90,#7DB643,#7C43B5
ITU H.248.1,ITU V.91,#7DB643,#7C43B5
ITU H.248.1,ITU V.152,#7DB643,#7C43B5
ITU H.248.1,ITU G.723.1,#7DB643,#7C43B5
ITU H.248.1,ITU Q.1400,#7DB643,#7C43B5
ITU H.248.1,ITU G.726,#7DB643,#7C43B5
ITU H.248.1,ITU I.460,#7DB643,#7C43B5
ITU H.248.1,ITU V.6,#7DB643,#7C43B5
ITU H.248.1,ITU V.110,#7DB643,#7C43B5
ITU H.248.1,ITU V.14,#7DB643,#7C43B5
ITU H.248.1,ITU X.1,#7DB643,#7C43B5
ITU H.248.1,ITU V.21,#7DB643,#7C43B5
ITU H.248.1,ITU V.23,#7DB643,#7C43B5
ITU H.248.1,ITU V.26,#7DB643,#7C43B5
ITU H.248.1,ITU V.27,#7DB643,#7C43B5
ITU H.248.1,ITU V.29,#7DB643,#7C43B5
ITU H.248.1,ITU Q.921,#7DB643,#7C43B5
ITU H.248.1,ITU X.25,#7DB643,#7C43B5
ITU H.248.1,ITU E.180,#7DB643,#7C43B5
ITU H.248.1,ITU Q.724,#7DB643,#7C43B5
ITU H.248.1,ITU Q.764,#7DB643,#7C43B5
ITU H.248.1,ITU Q.1902.4,#7DB643,#7C43B5
ITU H.248.1,ITU H.263,#7DB643,#7C43B5
ITU H.248.1,ITU H.248.18,#7DB643,#7C43B5
ITU H.248.1,ITU H.248.7,#7DB643,#7C43B5
ITU H.248.1,ITU H.248.47,#7DB643,#7C43B5
ITU H.248.1,RFC 791,#7DB643,#7C43B5
ITU H.248.1,RFC 1006,#7DB643,#7C43B5
ITU H.248.1,RFC 2234,#7DB643,#7C43B5
ITU H.248.1,RFC 2327,#7DB643,#7C43B5
ITU H.248.1,RFC 2373,#7DB643,#7C43B5
ITU H.248.1,RFC 2401,#7DB643,#7C43B5
ITU H.248.1,RFC 2402,#7DB643,#7C43B5
ITU H.248.1,RFC 2406,#7DB643,#7C43B5
ITU H.248.1,RFC 2409,#7DB643,#7C43B5
ITU H.248.1,RFC 2460,#7DB643,#7C43B5
ITU H.248.1,RFC 3550,#7DB643,#7C43B5
ITU H.248.1,RFC 3551,#7DB643,#7C43B5
ITU H.248.1,RFC 3556,#7DB643,#7C43B5
ITU H.248.1,RFC 5226,#7DB643,#7C43B5
ITU H.248.1,RFC 5615,#7DB643,#7C43B5
ITU H.248.1,RFC 4566,#7DB643,#7C43B5
ITU H.248.1,RFC 3389,#7DB643,#7C43B5
ITU H.248.1,RFC 4733,#7DB643,#7C43B5
ITU H.248.1,RFC 2411,#7DB643,#7C43B5
ITU H.248.1,RFC 1890,#7DB643,#7C43B5
ITU H.248.1,RFC 1661,#7DB643,#7C43B5
